ID,sub_distance,POI200,POI400-200,POI800-400,200Sum_BldgAr,Sum_Blgd_400-200,Sum_Blgd_800-400,fra_comm,fra_res,fra_off,fra_reta,pop,housing_un,HH_low,HH_medium,HH_high,employment
72,892.54,7,31,88,5165353,7716404,41337239,0.397252856,0.567367219,0.130987855,0.048373618,42931,29994,7950,8701,8610,28076
79,11.48,9,17,110,7545139,123450098,54044743,0.241288958,0.157313079,0.154800579,0.034608078,40059,22289,4538,4813,9410,24173
82,421.88,21,51,139,3787997,12137240,153225069,0.21630367,0.149015161,0.140590369,0.026662435,46550,20077,9273,6074,2760,21458
83,191.08,9,18,66,5020393,8652298,22497945,0.372673983,0.539691837,0.101619612,0.071666946,26982,13108,4424,3753,3383,13331
116,58.31,21,33,92,6620980,12988121,49761628,0.388958591,0.570095205,0.216651478,0.092121217,69299,44737,9329,10929,18814,44286
119,605.05,14,51,155,2282147,11793991,22175882,0.592111143,0.389249758,0.194055973,0.038150757,26982,13108,4424,3753,3383,13331
120,209.76,6,19,91,2100695,5504410,19729468,0.20057394,0.747971004,0.045663161,0.038783924,70095,28254,11997,9236,2992,27423
127,327.68,7,23,96,4316214,12058715,34264515,0.36643086,0.496853303,0.214783796,0.055210539,67185,42753,6641,11275,19302,42799
128,135.61,10,37,138,4991414,21606757,44131665,0.494904979,0.381750185,0.291569826,0.091292577,40059,22289,4538,4813,9410,24173
143,198.2,13,25,136,5162147,11168627,34690654,0.50623734,0.439053548,0.310175815,0.057802596,23498,12735,1940,3454,5952,14060
144,666.92,14,52,155,8687593,4755921,23795348,0.635667465,0.341933757,0.259854047,0.029668844,35373,17033,4840,4434,5811,18202
146,56,8,25,138,7941584,63459918,130220034,0.317399308,0.147959879,0.213865715,0.025269677,40059,22289,4538,4813,9410,24173
150,678.6,17,69,169,4612338,10811508,24691990,0.185597005,0.799769697,0.022756051,0.053649312,74243,32183,16191,8685,5340,30433
151,33.72,10,22,133,7817946,13792931,82821710,0.306574614,0.258180897,0.135336712,0.085081939,40059,22289,4538,4813,9410,24173
157,482.91,2,17,102,2221628,8656995,28426021,0.458313908,0.490890898,0.27129555,0.049748396,23498,12735,1940,3454,5952,14060
161,358.3,25,74,137,6634687,13397863,54611587,0.444880915,0.483979351,0.23270748,0.101640066,67185,42753,6641,11275,19302,42799
164,398.23,50,142,162,12654683,31288586,87350788,0.603138853,0.267758388,0.529643204,0.039017432,48393,36964,4493,8741,15860,32369
167,217.87,26,67,236,19827492,29438275,77215376,0.606131991,0.27186417,0.504631461,0.045067999,49515,30756,5216,8600,12357,31959
168,148.72,8,17,139,7228878,21514493,66029745,0.508917518,0.431275078,0.329248982,0.091527813,69299,44737,9329,10929,18814,44286
173,58.74,33,73,182,20323894,40854405,93980819,0.682856137,0.190953902,0.530051917,0.0819301,28228,21396,3859,3286,8819,17906
174,810.71,19,38,130,11413630,11976104,40473450,0.362824707,0.610189245,0.184055339,0.030724353,49515,30756,5216,8600,12357,31959
195,106.37,21,49,157,28403420,34089233,63750178,0.702863222,0.251833476,0.555301473,0.041617238,37506,22827,2769,4941,11221,24811
212,537.49,12,37,74,6981719,9173834,25687365,0.406739248,0.559706997,0.211927261,0.081121852,69299,44737,9329,10929,18814,44286
216,355.55,14,20,100,3999924,5459431,18543908,0.457107802,0.481913554,0.238488743,0.041438742,23498,12735,1940,3454,5952,14060
217,414.79,19,25,86,3704493,4790859,14607186,0.416816326,0.520941336,0.18745105,0.043857952,35373,17033,4840,4434,5811,18202
223,3.51,10,23,129,5359027,14955494,50596844,0.383505747,0.573024282,0.220107256,0.097837716,67185,42753,6641,11275,19302,42799
224,56.84,16,39,195,8892433,28824546,183629167,0.348923428,0.156345568,0.250983882,0.025483154,37506,22827,2769,4941,11221,24811
228,217.83,32,80,270,17155123,32904391,107082147,0.659107803,0.221137951,0.568485572,0.050843061,48393,36964,4493,8741,15860,32369
229,167.52,12,72,175,7948472,14785226,46727737,0.367969003,0.512826016,0.138601456,0.106555933,67185,42753,6641,11275,19302,42799
236,405.61,13,50,212,3813962,12942516,50333901,0.297933717,0.63168637,0.101212754,0.081894544,43755,24527,6754,8357,7195,27585
237,248.88,13,50,212,4046636,21652821,46076019,0.298659224,0.646200103,0.118581923,0.07227686,43755,24527,6754,8357,7195,27585
238,603.97,3,12,63,3725233,6684754,25111941,0.402771719,0.565630841,0.253213508,0.079223628,67185,42753,6641,11275,19302,42799
239,84.84,20,46,158,6571827,14248509,33704587,0.59475785,0.36357911,0.255740279,0.064808583,26982,13108,4424,3753,3383,13331
241,297.93,4,20,141,1853035,6095779,30349617,0.396376212,0.564629763,0.140739264,0.083798133,26982,13108,4424,3753,3383,13331
242,1038.46,13,33,115,8008375,3137433,11024341,0.573148651,0.416121515,0.058774887,0.020487548,26982,13108,4424,3753,3383,13331
243,87.25,7,38,116,6821663,9180033,30175044,0.45765329,0.490786205,0.210443981,0.099941356,26982,13108,4424,3753,3383,13331
244,352.1,11,37,67,3409755,5314068,25575979,0.427194507,0.544119001,0.05336197,0.022575145,36413,17006,4844,5776,4317,19069
245,529.25,19,47,144,3776478,3004508,37088890,0.548650468,0.415767257,0.169573194,0.063450966,26982,13108,4424,3753,3383,13331
247,242.39,4,20,111,3581950,11566046,38866837,0.388703877,0.574087677,0.228167196,0.071928279,67185,42753,6641,11275,19302,42799
248,153.87,7,16,86,5163749,20718959,149670544,0.219763391,0.150316845,0.142671661,0.031639545,40059,22289,4538,4813,9410,24173
249,189.71,5,29,93,7823034,15034770,169017871,0.283780479,0.137204917,0.182238145,0.02606665,40059,22289,4538,4813,9410,24173
251,177.75,13,30,161,4821157,17082200,43150010,0.436632465,0.456646541,0.165090025,0.134224597,40059,22289,4538,4813,9410,24173
252,144.88,15,69,148,4630816,13622149,52327112,0.374777928,0.550343166,0.175414912,0.086348588,67185,42753,6641,11275,19302,42799
254,224.05,15,38,160,5342799,15439716,53609380,0.400410582,0.538415603,0.214284231,0.092433147,67185,42753,6641,11275,19302,42799
257,24.57,3,28,114,6259861,121154831,55410974,0.222796229,0.157224216,0.128573233,0.044381427,40059,22289,4538,4813,9410,24173
258,178.93,15,20,83,2660716,5389519,24423135,0.310311187,0.626661015,0.093782136,0.052954467,36413,17006,4844,5776,4317,19069
